file	packed_size	unpacked_size	blocks	packed_sha256	unpacked_sha256	block_unpacked_sizes
PACS/TILES2.PAC	15862	22720	6	d65b5f9d7260f2603b86fef3c3902d567a521cc5ee0cd6aabbe1048b694f9267	97a0b5da43dc21db9f1835cc9823418700c34ba457c24467b0c0656e2246ac9c	2840,2485,4348,6523,3262,3262
PACS/TILESX.PAC	11758	14336	6	eaf8c9ab1b0dc1fcd1d344154897298410869d2ff7a6deb93a6d4c9f088209bc	a14acf2353b9b97b92feb2aae4bec40056d52dee4f5ae8206101d50a18aab832	3584,2688,4032,2016,1008,1008
PACS/UINV.PAC	1708	2816	1	74c38424a66ec3bab2a575d0392b7d7f7b7fc273f8989e4bd3891e9e152897f7	fbba4069aa3c6c3b55c1e64feb713a466a19c23db21341b288a2e37501bd9c8c	2816
PACS/WORLD.PAC	20675	22019	16	91bd80acadd9264cfd8c6dbe4c5ab7e3b665079558ffba2c1a1d1aed247a7da4	241a1fcc178637aeaaeeabb7b5db18337866f4a156feaad3a1143f01afb0f772	1376,1290,1209,1134,1063,1993,1744,1526,1335,1168,2045,1534,1150,1726,863,863
PACS/spelbits.pac	29718	36861	16	3214a832de316e10bc345ce583bfe91645a766b6d5159a7a51dbe86f7f6b9ee6	2c3c0a31e900599fff0c8bad8c52f6c41a959cb608f7b491d56ae58329733894	2303,1079,2092,3923,3433,6007,4506,1689,2957,1109,970,849,1486,1114,1672,1672
PRUMS/R00.PAC	1130	2048	1	eaa77af083e850ef78ef81268fb1988e896edcaa42a243550961624ea45a7b00	2a33a4f5562e42c0f52cbc144eed403fd412bfacab229abffdbc9e1113b5c54b	2048
PRUMS/R01.PAC	1060	2048	1	38c0ec21aa615ed3c73854878199ce839fd29fce1470bcaf7633b9876ca35552	6c4326b137df484649a79b69e2272248c7ef72863a9afad83685148283d3a3b6	2048
PRUMS/R10.PAC	1044	2048	1	0f16c7c48a6b3aa677b048a4a781efa1fa7c41fde4f84e8a2aeec7e52d6b5497	dad75d59bcebff98b43dc3ac71a45b65b0aca1b0689ae250c781005eeaf05bf4	2048
PRUMS/R11.PAC	986	2048	1	f3d9398dc1593a6c01152d4dcefe0e184ecc491285c743aff42a9fc23d2f746a	53027c770c9a93bb5c80f9b1c26ce37902eab53c00ddc8a8bc08a6f14df028a8	2048
PRUMS/R12.PAC	1019	2048	1	d6e267ff20eecde22325cccba9292813edb736e2afb435ad91d90bc57f9b6930	f720e68203d6e689b548ab33a04327aed981152572ccd55c56404bd666e83498	2048
