file	block_index	offset_hex	continuation	rule_count	payload_size	unpacked_size	unpacked_sha256
PACS/A0A.PAC	0	0x0	1	43	1905	2957	6849f951eece86f55d2f6858805c22043ac961e1c6fc4209cfa271af9ddd6d71
PACS/A0A.PAC	1	0x7F6	1	34	1688	2218	f439175bdfbf30e18df94b7a163b210894c3faf191ce733ff47705d1835b1f5e
PACS/A0A.PAC	2	0xEF8	1	21	2497	3327	9c5f492be1315da53bff642d69eeec4437b178af7b4c3b9c1692277d717cf4e2
PACS/A0A.PAC	3	0x18FC	0	26	2644	3328	cb6560ffac3af1b6e257c33aa2cd3499d0ee09c97739c9abe5fbd1546dfbbceb
PACS/A0B.PAC	0	0x0	1	43	1860	3511	03e83a3a9a74012ebd915382584ab028629a0bf36629e32328060584b87097ef
PACS/A0B.PAC	1	0x7C9	1	27	1689	2633	52d38c16a575e09c0a858554bbacfdb72ee209229e176d2e7f6db780bab26ed7
PACS/A0B.PAC	2	0xEB7	1	39	2459	3951	724c58d63ccf6e18778b4afb3863b749540b9b59a72a3b12e023001e8729eb34
PACS/A0B.PAC	3	0x18CB	0	40	2546	3951	b269afe33739e6ad5606b1cf1608a93c0c24b3db93681383456fb33d9b1dc847
PACS/A0C.PAC	0	0x0	1	37	983	3006	bc0dad47f19f50c521877b9a4b1ed5d704a085c421a6a6a4d801f196e738b9dd
PACS/A0C.PAC	1	0x44A	1	35	1351	2255	71920060679ddf41c550c9bdb4b10ca558822d4fafdbbf45f1f9f29c41814a9b
PACS/A0C.PAC	2	0x9FE	1	25	2125	3382	85e38fd1d414478337a93803e16bb7c5858710e61c653dcf21303eefae20e1fe
PACS/A0C.PAC	3	0x129A	0	192	1492	3383	42db2aa7dbd448546a53b96ccc98c15d3bac42709f936d6190ff9b0deef7c2c3
PACS/A0D.PAC	0	0x0	1	33	1535	2927	ff1530724ca1cd4de5d0a7927af92283f9a75b6ec1ae24a525c080ad1e29f672
PACS/A0D.PAC	1	0x666	1	51	1260	2195	934a5f3ef70a060fecd60d4282aeca2e7bd80351a9878acfdc56a10b9d1f05b1
PACS/A0D.PAC	2	0xBEF	1	37	1250	1647	c484847073cb496cb1544c9164e361f5afbb4edfae73a5e9bd95fb279369c21e
PACS/A0D.PAC	3	0x1144	1	34	1774	2470	988fb5edb159b0aeb5c6cf2ca6cc467683bcaec903d57b53a19fd1b48aaf7b15
PACS/A0D.PAC	4	0x189C	0	35	1979	2471	4e38d2f0904e97d28e4a80d470ab3eea7c9dc3d54b6b3b0e26565aa204e87b11
PACS/A0E.PAC	0	0x0	1	59	1463	3306	1dad023e2b6e3978d7d08dc552ed05325617ff51bd74db4757569e21501fda1a
PACS/A0E.PAC	1	0x66C	1	21	3393	4959	6d99c21f28c6aeca839aa636b3b88073fa88d7b70d8521dced8cc0522db3a7ad
PACS/A0E.PAC	2	0x13F0	0	70	2437	4959	133869e4260e4b70726439503f7799f60d50307067599cfc55a51afded0e7638
PACS/A0F.PAC	0	0x0	1	41	1713	2435	fe884f7730b9a84d32709e2724a8560b73aa3a2a7bc131ddcf0e439c0f593aaa
PACS/A0F.PAC	1	0x730	1	24	2904	3652	6cdd012664094c83c7d6182ee8b70ee981ee75dcfef68d9d39dba4cceb4405b7
PACS/A0F.PAC	2	0x12D4	1	8	821	913	773a78b44b860944f2716be1d278ee64915bbc818a99c910c98b3e598c2d5f4c
PACS/A0F.PAC	3	0x1625	1	15	1219	1370	359103e179a4b834b006dbf1e78445ab39ed853925d5abe0cc41ca7d95b07e79
PACS/A0F.PAC	4	0x1B19	0	46	1097	1370	bc20b2789aea31d20ff8fb02dd1e65bd33760c7b106bae01806cb6392c75b27f
PACS/A10.PAC	0	0x0	1	25	2369	4352	b16fa8cd7cc9caad23e87b13c5ea0038597b26d9392c019cec01b6815c3690cb
PACS/A10.PAC	1	0x990	1	26	2354	3264	c43087b7fb10ecf2004a260dfb8f570ec90d03c37a6b9289cb5294e1424f481b
