file	packed_size	blocks	unpacked_size	block_unpacked_sizes	png_status	png
SPIT/M02.PAC	10943	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M02.png
SPIT/M03.PAC	8440	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M03.png
SPIT/M04.PAC	10272	6	15360	3840,2880,2160,1620,2430,2430	96x320 Amiga plane-major	png/SPIT/M04.png
SPIT/M05.PAC	9362	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M05.png
SPIT/M06.PAC	7779	2	15360	7680,7680	96x320 Amiga plane-major	png/SPIT/M06.png
SPIT/M07.PAC	8223	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M07.png
SPIT/M08.PAC	8867	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M08.png
SPIT/M09.PAC	9062	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M09.png
SPIT/M0A.PAC	8291	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M0A.png
SPIT/M0B.PAC	9053	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M0B.png
SPIT/M0C.PAC	6815	2	15360	7680,7680	96x320 Amiga plane-major	png/SPIT/M0C.png
SPIT/M0D.PAC	8515	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M0D.png
SPIT/M0E.PAC	8969	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M0E.png
SPIT/M0F.PAC	8935	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M0F.png
SPIT/M10.PAC	6846	2	15360	7680,7680	96x320 Amiga plane-major	png/SPIT/M10.png
SPIT/M11.PAC	7919	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M11.png
SPIT/M12.PAC	8512	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M12.png
SPIT/M13.PAC	8744	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M13.png
SPIT/M14.PAC	7590	2	15360	7680,7680	96x320 Amiga plane-major	png/SPIT/M14.png
SPIT/M15.PAC	7698	1	15360	15360	96x320 Amiga plane-major	png/SPIT/M15.png
SPIT/M16.PAC	8037	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M16.png
SPIT/M17.PAC	9555	5	15360	1920,1680,2940,4410,4410	96x320 Amiga plane-major	png/SPIT/M17.png
SPIT/M18.PAC	9325	5	15360	3840,2880,4320,2160,2160	96x320 Amiga plane-major	png/SPIT/M18.png
SPIT/M19.PAC	10131	5	15360	3840,1440,5040,2520,2520	96x320 Amiga plane-major	png/SPIT/M19.png
SPIT/M1A.PAC	8647	3	15360	7680,3840,3840	96x320 Amiga plane-major	png/SPIT/M1A.png
SPIT/M1B.PAC	8441	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M1B.png
SPIT/M1C.PAC	8113	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M1C.png
SPIT/M1D.PAC	9842	4	15360	3840,2880,4320,4320	96x320 Amiga plane-major	png/SPIT/M1D.png
SPIT/M1E.PAC	8431	3	15360	7680,3840,3840	96x320 Amiga plane-major	png/SPIT/M1E.png
SPIT/M1F.PAC	8470	3	15360	3840,5760,5760	96x320 Amiga plane-major	png/SPIT/M1F.png
SPIT/M20.PAC	7935	3	15360	7680,3840,3840	96x320 Amiga plane-major	png/SPIT/M20.png
SPIT/M21.PAC	8648	2	15360	7680,7680	96x320 Amiga plane-major	png/SPIT/M21.png
SPIT/M80.PAC	731	1	1024	1024	raw-only	
SPIT/M81.PAC	870	1	1024	1024	raw-only	
SPIT/M82.PAC	687	1	1024	1024	raw-only	
SPIT/M83.PAC	291	1	1024	1024	raw-only	
SPIT/M84.PAC	210	1	1024	1024	raw-only	
SPIT/M85.PAC	229	1	1024	1024	raw-only	
SPIT/M86.PAC	382	1	1024	1024	raw-only	
SPIT/M87.PAC	630	1	1024	1024	raw-only	
